Doc ID;name;sectionId
ais_san_01;Pasillo 22;sec_07
ais_san_02;Pasillo 24;sec_07
ais_san_03;Pasillo 26;sec_07
ais_san_04;Pasillo 28;sec_07
ais_san_05;Pasillo 30;sec_07
ais_san_06;Pasillo 32;sec_07
ais_san_07;Pasillo 34;sec_07
ais_san_08;Pasillo 36;sec_07
ais_san_09;Pasillo 38;sec_07
ais_san_10;Pasillo 40;sec_07
ais_san_11;Pasillo 42;sec_07
ais_coc_01;Pasillo 23;sec_08
ais_coc_02;Pasillo 25;sec_08
ais_coc_03;Pasillo 27;sec_08
ais_coc_04;Pasillo 29;sec_08
ais_coc_05;Pasillo 31;sec_08
ais_mad_01;Pasillo 56;sec_02
ais_mad_02;Pasillo 58;sec_02
ais_mad_03;Pasillo 60;sec_02
ais_mad_04;Pasillo 62;sec_02
ais_mad_05;Pasillo 64;sec_02
ais_mad_06;Pasillo 66;sec_02
ais_mad_07;Pasillo 68;sec_02
ais_mad_08;Pasillo 70;sec_02
